,R2 train,R2 cv,R2 test,Training period start,Training period end,Testing period,N° training samples,N° testing samples
0,0.9958443618724074,0.6019354996547738,0.9496644951866203,2000Q1,2001Q4,2002Q1,64,16
1,0.9999997379279685,0.5745893938496904,0.1927845912615923,2000Q2,2002Q1,2002Q2,95,20
2,0.9979814049051174,0.7480058332329238,0.8438539828359508,2000Q3,2002Q2,2002Q3,135,19
3,0.9807664437623823,0.23606785779702633,0.04532831659310366,2000Q4,2002Q3,2002Q4,172,20
4,0.9994634340630699,0.1618308187285401,0.06871460377818284,2001Q1,2002Q4,2003Q1,212,43
5,0.9999998967637238,0.03555526726635094,0.06827139734245957,2001Q2,2003Q1,2003Q2,298,51
6,0.9938786279923463,-0.018791932966552682,0.13959366768838555,2001Q3,2003Q2,2003Q3,382,51
7,0.9195268864754355,0.4691203874221992,0.9778587146153039,2001Q4,2003Q3,2003Q4,461,49
8,0.6189290139769053,0.21855472148270416,-0.10512563343300152,2002Q1,2003Q4,2004Q1,534,56
9,0.5533181444283916,-0.0051864072291833985,-0.044924226246694676,2002Q2,2004Q1,2004Q2,615,61
10,0.5814872811721408,0.6333495451861972,0.5213467863849264,2002Q3,2004Q2,2004Q3,697,63
11,0.46892199989603756,-0.022702981765233332,0.04973746783798705,2002Q4,2004Q3,2004Q4,785,58
12,0.465211520335427,0.12489600751758756,-3.839772556477925,2003Q1,2004Q4,2005Q1,860,78
13,0.312793295066112,-0.019885917435303213,-17.334897517925768,2003Q2,2005Q1,2005Q2,929,84
14,0.4805629282700652,0.09370999348750975,-64.84114186870437,2003Q3,2005Q2,2005Q3,994,85
15,0.41794948281704214,0.03375345371920846,-1.7369250659782027,2003Q4,2005Q3,2005Q4,1062,83
16,0.5113285597128658,0.13029191516851535,-1.7344149891462477,2004Q1,2005Q4,2006Q1,1130,110
17,0.9990674519703507,0.015462236940664953,0.17823768233366244,2004Q2,2006Q1,2006Q2,1238,114
18,0.24865860442160703,0.02086009276682832,-0.0606065124330144,2004Q3,2006Q2,2006Q3,1344,116
19,0.1277128228369463,-0.018749807492154158,0.13484894950141801,2004Q4,2006Q3,2006Q4,1450,110
20,0.8840718681440112,-0.004534695057783367,0.529183561789981,2005Q1,2006Q4,2007Q1,1555,121
21,0.4093039828043722,-0.03157677111212975,0.8508719767238845,2005Q2,2007Q1,2007Q2,1642,123
22,0.4423536175733106,-0.010059570075030777,0.744411106165737,2005Q3,2007Q2,2007Q3,1720,124
23,0.5855827600446075,-0.006403048456299132,0.7429263539808734,2005Q4,2007Q3,2007Q4,1798,106
24,0.6383078717584261,0.05524010155356707,0.29561425375511796,2006Q1,2007Q4,2008Q1,1844,119
25,0.709893750911001,0.037947115424978084,0.16191067976438045,2006Q2,2008Q1,2008Q2,1862,129
26,0.680730853822431,0.32554616398732616,-18.38652830710908,2006Q3,2008Q2,2008Q3,1891,132
27,0.459797933904706,-0.05109454308836936,-8.87920709255424,2006Q4,2008Q3,2008Q4,1923,131
28,0.8716291862991055,0.2289960275495142,-1.7464788402996119,2007Q1,2008Q4,2009Q1,1965,146
29,0.9332030582469326,0.31890870891495815,0.24004626889819702,2007Q2,2009Q1,2009Q2,2015,148
30,0.9492068616482443,0.021875284584719545,0.40854048028961376,2007Q3,2009Q2,2009Q3,2066,149
31,0.9997517355816897,0.01598736791219435,-0.10730438971311962,2007Q4,2009Q3,2009Q4,2116,150
32,0.9291308807825078,0.017227883803958788,-0.02516514894178412,2008Q1,2009Q4,2010Q1,2205,162
33,0.9961259562526013,0.0357448617099938,-2.8761047161873092,2008Q2,2010Q1,2010Q2,2291,161
34,0.9274859238895933,0.01617379261107499,0.49878958361272674,2008Q3,2010Q2,2010Q3,2355,164
35,0.24346718341313833,-0.015070997868831926,-3.6635440291249344,2008Q4,2010Q3,2010Q4,2419,164
36,0.8996715949855584,0.010842168483778725,-3.4922137269273703,2009Q1,2010Q4,2011Q1,2484,172
37,0.9965249985185569,0.01337004541409359,0.2540701138320417,2009Q2,2011Q1,2011Q2,2536,179
38,0.402907284550596,-0.03431017942975845,0.02379602499470057,2009Q3,2011Q2,2011Q3,2598,180
39,0.2699022010328632,-0.01635743029027603,0.7783272789195559,2009Q4,2011Q3,2011Q4,2661,177
40,0.5666073121987734,0.04346538450549087,-3646.122187359886,2010Q1,2011Q4,2012Q1,2715,202
41,0.5517089543524678,0.13266515884603647,-434.18780688151617,2010Q2,2012Q1,2012Q2,2795,206
42,0.7060169953682658,0.03976264591141465,-337.6053662219442,2010Q3,2012Q2,2012Q3,2886,208
43,0.9999996883996767,0.0772277108235555,0.032602096262996816,2010Q4,2012Q3,2012Q4,2974,205
44,0.10361678729285961,-0.057127196978858485,-0.0030178947628891617,2011Q1,2012Q4,2013Q1,3056,213
45,0.9999997534408603,0.06556840099537276,0.00568040033977657,2011Q2,2013Q1,2013Q2,3138,218
46,0.9999998781537107,0.10701759183430448,0.20074646767240245,2011Q3,2013Q2,2013Q3,3215,219
47,0.30268042451830424,-0.004065009084166293,-4.249580686577266,2011Q4,2013Q3,2013Q4,3293,216
48,0.9999921580083967,0.04807979126490236,-1.0542192965717492,2012Q1,2013Q4,2014Q1,3370,217
49,0.8071788238690847,0.04717966421400077,0.5642595968777218,2012Q2,2014Q1,2014Q2,3400,223
50,0.4292312147687999,0.015025844097736551,0.10423851372175741,2012Q3,2014Q2,2014Q3,3433,221
51,0.3069681055617154,-0.0182425606993617,-1.9725428690744065,2012Q4,2014Q3,2014Q4,3460,219
52,0.43259720348485764,0.0500585225193757,-0.0721716966784054,2013Q1,2014Q4,2015Q1,3488,220
53,0.43366182157351274,-0.06263118323560635,-1.3425235763718883,2013Q2,2015Q1,2015Q2,3502,220
54,0.3519426511662186,-0.09355719759471492,0.04435001605494815,2013Q3,2015Q2,2015Q3,3507,219
55,0.29283431767058443,-0.016467720577416856,0.397862319021824,2013Q4,2015Q3,2015Q4,3506,217
56,0.8403644420965093,0.08123358609765785,-0.9925774205506812,2014Q1,2015Q4,2016Q1,3509,220
57,0.43332853299768115,-0.020001064885560638,0.1259253960078799,2014Q2,2016Q1,2016Q2,3515,221
58,0.9907158206291883,0.22519537872693607,-96.66574883327613,2014Q3,2016Q2,2016Q3,3511,217
59,0.6660603073339837,0.15505743729149668,-8.898867015237856,2014Q4,2016Q3,2016Q4,3503,214
60,0.680816104302628,0.31952769083665167,-7.053675986442469,2015Q1,2016Q4,2017Q1,3493,214
61,0.8905605382497087,0.19515915166007303,-1.1414281151014647,2015Q2,2017Q1,2017Q2,3481,213
62,0.9430760282099017,0.1751787613071084,-1.0346053154672314,2015Q3,2017Q2,2017Q3,3467,213
63,0.9999992852911294,0.06991578004161636,-2.6200903261206325,2015Q4,2017Q3,2017Q4,3455,207
64,0.8864529852908742,0.1372509684558807,-1.9244994301863576,2016Q1,2017Q4,2018Q1,3434,210
65,0.9545500130333208,0.12945787142905318,-66.77335259531425,2016Q2,2018Q1,2018Q2,3413,209
66,0.9999999431164558,0.2897323003706015,-0.07812478830020786,2016Q3,2018Q2,2018Q3,3390,207
67,0.9971754627255801,0.21967379438431422,0.1674933499311284,2016Q4,2018Q3,2018Q4,3369,203
